from,to,forecast,actual,index
2025-04-07T11:00Z,2025-04-07T11:30Z,125,122,moderate
2025-04-07T11:00Z,2025-04-07T11:30Z,125,118,moderate
2025-04-07T11:00Z,2025-04-07T11:30Z,125,118,moderate
2025-04-07T11:30Z,2025-04-07T12:00Z,121,118,moderate
2025-04-07T11:30Z,2025-04-07T12:00Z,121,118,moderate
2025-04-07T11:30Z,2025-04-07T12:00Z,121,118,moderate
2025-04-07T11:30Z,2025-04-07T12:00Z,121,115,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
2025-04-07T12:00Z,2025-04-07T12:30Z,118,112,moderate
