reference_id,outage_start,outage_end,Provider_name,planned
INC 1241091570,2025-07-04 21:57:00,,Electricity North West,NA
INC 1241092189,2025-08-04 21:28:00,,Electricity North West,NA
INC 1241092613,2025-09-04 15:27:00,2025-09-04 21:27:00,Electricity North West,NA
INC 1241092622,2025-09-04 15:28:00,2025-09-04 21:27:00,Electricity North West,NA
INC 1241092360,2025-09-04 09:04:00,2025-09-04 17:00:00,Electricity North West,NA
INCD-15905-t,2025-04-09 09:03:00,2025-04-09 17:00:00,National Grid,false
INCD-53885-l,2025-04-09 06:27:00,2025-04-09 16:00:00,National Grid,false
INCD-53915-l,2025-04-09 11:24:00,2025-04-09 14:00:00,National Grid,false
INCD-53884-l,2025-04-09 05:08:00,2025-04-09 18:00:00,National Grid,false
INCD-15906-t,2025-04-09 09:41:00,,National Grid,false
INCD-21126-e,2025-04-08 11:06:00,2025-04-09 17:00:00,National Grid,false
INCD-21181-e,2025-04-09 11:27:00,2025-04-09 16:00:00,National Grid,false
INCD-33917-f,2025-04-09 07:54:00,2025-04-09 15:30:00,National Grid,false
INCD-42643-p,2025-04-09 11:27:00,2025-04-09 20:00:00,National Grid,false
INCD-42630-p,2025-04-09 05:59:00,2025-04-09 17:00:00,National Grid,false
INCD-42631-p,2025-04-09 06:54:00,2025-04-09 17:00:00,National Grid,false
INCD-37898-m,2025-04-09 11:40:00,2025-04-09 20:00:00,National Grid,false
INCD-4678-u,2025-04-09 10:15:00,2025-04-09 19:30:00,National Grid,false
INCD-4677-u,2025-04-09 09:42:00,2025-04-09 21:00:00,National Grid,false
INCD-15770-t,2025-04-09 13:06:00,2025-04-09 19:00:00,National Grid,false
INCD-82260-h,2025-04-09 04:02:00,2025-04-09 16:00:00,National Grid,false
INCD-15757-t,2025-04-09 11:04:00,2025-04-09 20:00:00,National Grid,false
INCD-82183-h,2025-04-08 10:45:00,2025-04-09 16:30:00,National Grid,false
INCD-82303-h,2025-04-09 13:15:00,2025-04-09 20:00:00,National Grid,false
INCD-82305-h,2025-04-09 14:05:00,2025-04-09 15:00:00,National Grid,false
INCD-53895-l,2025-04-09 09:45:00,2025-04-09 17:00:00,National Grid,false
INCD-53910-l,2025-04-09 10:55:00,2025-04-09 16:30:00,National Grid,false
INCD-37921-m,2025-04-09 14:46:00,2025-04-09 22:30:00,National Grid,false
INCD-633672-A,2025-04-09 10:51:00,,Northern Powergrid,false
INCD-633669-A,2025-04-09 10:47:00,,Northern Powergrid,true
INCD-633667-A,2025-04-09 10:46:00,,Northern Powergrid,false
INCD-51362-B,2025-04-09 10:49:00,,Northern Powergrid,false
INCD-51360-B,2025-04-09 10:33:00,,Northern Powergrid,true
INCD-633642-A,2025-04-09 10:01:00,,Northern Powergrid,false
INCD-633629-A,2025-04-09 09:44:00,,Northern Powergrid,false
INCD-633625-A,2025-04-09 09:38:00,2025-04-09 22:00:00,Northern Powergrid,true
INCD-51356-B,2025-04-09 09:05:00,,Northern Powergrid,false
INCD-633603-A,2025-04-09 08:45:00,2025-04-09 19:30:00,Northern Powergrid,true
INCD-51352-B,2025-04-09 08:15:00,,Northern Powergrid,false
INCD-633583-A,2025-04-09 06:14:00,,Northern Powergrid,false
INCD-633566-A,2025-04-08 22:01:00,,Northern Powergrid,true
INCD-633558-A,2025-04-08 20:00:00,,Northern Powergrid,true
INCD-633538-A,2025-04-08 18:11:00,,Northern Powergrid,true
INCD-633528-A,2025-04-08 16:56:00,,Northern Powergrid,false
INCD-633447-A,2025-04-08 13:19:00,2025-04-09 15:30:00,Northern Powergrid,true
INCD-633215-A,2025-04-07 17:01:00,2025-04-09 16:30:00,Northern Powergrid,true
INCD-50983-B,2025-03-31 14:10:00,,Northern Powergrid,true
INCD-627521-A,2025-03-19 13:53:00,,Northern Powergrid,false
INCD-626042-A,2025-03-13 11:33:00,,Northern Powergrid,true
PPCR65383,2025-04-09 19:00:00,2025-04-11 04:00:00,Northern Powergrid,false
PPCR65323,2025-04-09 09:00:00,2025-04-09 15:00:00,Northern Powergrid,true
PPCR65310,2025-04-09 10:00:00,,Northern Powergrid,false
INCD-1154593-s,2025-09-04 14:25:00,,SP Energy Networks,false
INCD-1154557-s,2025-09-04 13:36:00,2025-09-04 17:51:00,SP Energy Networks,false
INCD-866151-f,2025-09-04 13:22:00,2025-09-04 16:30:00,SP Energy Networks,false
INCD-1154509-s,2025-09-04 13:07:00,,SP Energy Networks,false
INCD-1154503-s,2025-09-04 13:06:00,,SP Energy Networks,false
INCD-2304020-i,2025-09-04 12:40:00,,SP Energy Networks,false
INCD-1154467-s,2025-09-04 12:06:00,,SP Energy Networks,false
INCD-2303978-i,2025-09-04 12:02:00,,SP Energy Networks,false
INCD-1154455-s,2025-09-04 11:55:00,,SP Energy Networks,false
INCD-866115-f,2025-09-04 11:39:00,2025-09-04 16:00:00,SP Energy Networks,false
QS4169,2021-05-20 05:35:00+00:00,,Scottish and Southern Energy (SSE),NA
QS5620,2025-04-09 13:06:00+00:00,,Scottish and Southern Energy (SSE),NA
QS6057,2025-04-09 12:51:00+00:00,2025-04-09 17:00:00+00:00,Scottish and Southern Energy (SSE),NA
237254,2025-04-09 12:00:00+00:00,2025-04-09 16:00:00+00:00,Scottish and Southern Energy (SSE),NA
237754,2025-04-09 12:00:00+00:00,2025-04-09 16:00:00+00:00,Scottish and Southern Energy (SSE),NA
237049,2025-04-09 12:00:00+00:00,2025-04-09 16:00:00+00:00,Scottish and Southern Energy (SSE),NA
QS5987,2025-04-09 12:00:00+00:00,,Scottish and Southern Energy (SSE),NA
237512,2025-04-09 11:30:00+00:00,2025-04-09 15:00:00+00:00,Scottish and Southern Energy (SSE),NA
237378,2025-04-09 11:30:00+00:00,2025-04-09 15:30:00+00:00,Scottish and Southern Energy (SSE),NA
QS5612,2025-04-09 08:53:00+00:00,2025-04-09 19:00:00+00:00,Scottish and Southern Energy (SSE),NA
QS5640,2025-04-09 08:39:00+00:00,,Scottish and Southern Energy (SSE),NA
237142,2025-04-09 08:00:00+00:00,2025-04-09 15:00:00+00:00,Scottish and Southern Energy (SSE),NA
237236,2025-04-09 08:00:00+00:00,2025-04-09 14:00:00+00:00,Scottish and Southern Energy (SSE),NA
237334,2025-04-09 08:00:00+00:00,2025-04-09 14:30:00+00:00,Scottish and Southern Energy (SSE),NA
237461,2025-04-09 08:00:00+00:00,2025-04-09 16:00:00+00:00,Scottish and Southern Energy (SSE),NA
237868,2025-04-09 08:00:00+00:00,2025-04-09 14:00:00+00:00,Scottish and Southern Energy (SSE),NA
235630,2025-04-09 08:00:00+00:00,2025-04-09 15:00:00+00:00,Scottish and Southern Energy (SSE),NA
235814,2025-04-09 08:00:00+00:00,2025-04-09 16:00:00+00:00,Scottish and Southern Energy (SSE),NA
235904,2025-04-09 08:00:00+00:00,2025-04-09 14:30:00+00:00,Scottish and Southern Energy (SSE),NA
235974,2025-04-09 08:00:00+00:00,2025-04-09 17:00:00+00:00,Scottish and Southern Energy (SSE),NA
236422,2025-04-09 08:00:00+00:00,2025-04-09 14:00:00+00:00,Scottish and Southern Energy (SSE),NA
236590,2025-04-09 08:00:00+00:00,2025-04-09 15:00:00+00:00,Scottish and Southern Energy (SSE),NA
237008,2025-04-09 08:00:00+00:00,2025-04-09 15:00:00+00:00,Scottish and Southern Energy (SSE),NA
236042,2025-04-09 07:30:00+00:00,2025-04-09 15:30:00+00:00,Scottish and Southern Energy (SSE),NA
236758,2025-04-09 07:30:00+00:00,2025-04-09 15:30:00+00:00,Scottish and Southern Energy (SSE),NA
236400,2025-04-09 07:30:00+00:00,2025-04-09 15:30:00+00:00,Scottish and Southern Energy (SSE),NA
237377,2025-04-09 07:30:00+00:00,2025-04-09 15:30:00+00:00,Scottish and Southern Energy (SSE),NA
237150,2025-04-09 06:30:00+00:00,2025-04-09 15:00:00+00:00,Scottish and Southern Energy (SSE),NA
QS5379,2025-04-09 05:42:00+00:00,2025-04-09 15:00:00+00:00,Scottish and Southern Energy (SSE),NA
QS5302,2025-04-09 01:49:00+00:00,2025-04-09 20:00:00+00:00,Scottish and Southern Energy (SSE),NA
QS5176,2025-04-08 18:44:00+00:00,2025-04-09 15:00:00+00:00,Scottish and Southern Energy (SSE),NA
QS5149,2025-04-08 17:28:00+00:00,,Scottish and Southern Energy (SSE),NA
237833,2025-04-07 07:30:00+00:00,2025-04-11 15:30:00+00:00,Scottish and Southern Energy (SSE),NA
QS6147,2025-04-09 14:01:00+00:00,,Scottish and Southern Energy (SSE),NA
QS4637,2025-04-07 13:26:00+00:00,,Scottish and Southern Energy (SSE),NA
INCD-20326-O,2025-04-09 06:15:00,2025-04-09 16:45:00,UK Power Networks,True
INCD-99194-C,2025-04-09 09:00:00,2025-04-09 16:00:00,UK Power Networks,True
INCD-324528-U,2025-04-09 09:00:00,2025-04-09 14:00:00,UK Power Networks,True
INCD-90837-V,2025-04-09 09:00:00,2025-04-09 15:00:00,UK Power Networks,True
INCD-90842-V,2025-04-09 09:00:00,2025-04-09 13:00:00,UK Power Networks,True
INCD-324530-U,2025-04-09 09:00:00,2025-04-09 12:00:00,UK Power Networks,True
INCD-99282-C,2025-04-09 09:00:00,2025-04-09 12:00:00,UK Power Networks,True
INCD-324455-U,2025-04-09 09:00:00,2025-04-09 12:00:00,UK Power Networks,True
