Power Cut ID,Category,Start Time,End Time,Postcodes Affected,Premises Affected
INCD-633672-A,Power restored,09 Apr 2025 10:51 AM,,", , SR4  6RD, SR4  6NU",
INCD-633669-A,Unplanned power cut,09 Apr 2025 10:47 AM,,", HD1",
INCD-633667-A,Power restored,09 Apr 2025 10:46 AM,,", , S73  0AA, S73  0DJ",
INCD-51362-B,Power restored,09 Apr 2025 10:49 AM,,", , HD3  3SZ, HD3  3SY",
INCD-51360-B,Unplanned power cut,09 Apr 2025 10:33 AM,,", S35  3JA",
INCD-633642-A,Power restored,09 Apr 2025 10:01 AM,,", DH6",
INCD-633629-A,Power restored,09 Apr 2025 9:44 AM,,", HU17",
INCD-633625-A,Unplanned power cut,09 Apr 2025 9:38 AM,09 Apr 2025 22:00,", , NE6  3BQ, NE6  3EU",
INCD-51356-B,Power restored,09 Apr 2025 9:05 AM,,", , BD6  3JP, BD5  9EX",
INCD-633603-A,Unplanned power cut,09 Apr 2025 8:45 AM,09 Apr 2025 19:30,", WF6",
INCD-51352-B,Power restored,09 Apr 2025 8:15 AM,,", , HX7  6DT, HX7  6DX",
INCD-633583-A,Power restored,09 Apr 2025 6:14 AM,,", , WF14 0BW, WF9  4TZ",
INCD-633566-A,Unplanned power cut,08 Apr 2025 10:01 PM,,", , S4   7UW, S4   7UU",
INCD-633558-A,Unplanned power cut,08 Apr 2025 8:00 PM,,", , DN10 6QJ, DN10 6DQ",
INCD-633538-A,Unplanned power cut,08 Apr 2025 6:11 PM,,", , S25  2TF, S25  2TB",
INCD-633528-A,Power restored,08 Apr 2025 4:56 PM,,", , TS12 2XJ, TS12 2XT",
INCD-633447-A,Unplanned power cut,08 Apr 2025 1:19 PM,09 Apr 2025 15:30,", S25",
INCD-633215-A,Unplanned power cut,07 Apr 2025 5:01 PM,09 Apr 2025 16:30,", , NE65 7SE, NE65 7QJ",
INCD-50983-B,Unplanned power cut,31 Mar 2025 2:10 PM,,", S65",
INCD-627521-A,Power restored,19 Mar 2025 1:53 PM,,", , TS17 6PJ, TS17 7DR",
INCD-626042-A,Unplanned power cut,13 Mar 2025 11:33 AM,,", , YO25 9HR, YO25 8JJ",
PPCR65383,Scheduled power cut,09 Apr 2025 7:00 PM,11 Apr 2025 04:00,", , DN39 6YJ, DN39 6YH",
PPCR65323,Planned power cut,09 Apr 2025 9:00 AM,09 Apr 2025 15:00,", , SR7  7PT, SR7  7PG",
PPCR65310,Power restored,09 Apr 2025 10:00 AM,,", , NE2  4LS, NE2  4LT",
