incident_id,outage_start,planned,outage_end,region,postcodes
INCD-1154593-s,09/04/2025 14:25,Restored,,Scottish Power,DG7 3UG
INCD-1154557-s,09/04/2025 13:36,Live,09/04/2025 17:51,Scottish Power,"KA7 4AF, KA7 4AG, KA7 4AQ"
INCD-866151-f,09/04/2025 13:22,Live,09/04/2025 16:30,Scottish Power,"PA13 4EE, PA13 4SH, PA13 4SJ, PA13 4SL, PA13 4SN, PA13 4SP, PA13 4SR"
INCD-1154509-s,09/04/2025 13:07,Restored,,Scottish Power,PA13 4SN
INCD-1154503-s,09/04/2025 13:06,Restored,,Scottish Power,"PA13 4EE, PA13 4RY, PA13 4RZ, PA13 4SA, PA13 4SD, PA13 4SF, PA13 4SG, PA13 4SH, PA13 4SJ, PA13 4SL, PA13 4SN, PA13 4SP, PA13 4SQ, PA13 4SR, PA14 6SX"
INCD-2304020-i,09/04/2025 12:40,Restored,,Scottish Power,"WA7 6BE, WA7 6BG, WA7 6EF, WA7 6EL, WA7 6EW, WA7 6HA, WA7 6HB, WA7 6HD, WA7 6HE, WA7 6HF, WA7 6HG, WA7 6PE"
INCD-1154467-s,09/04/2025 12:06,Restored,,Scottish Power,PA16 8RW
INCD-2303978-i,09/04/2025 12:02,Restored,,Scottish Power,"WA7 1HE, WA7 1HF, WA7 1HG, WA7 1HH, WA7 1HJ, WA7 1HL, WA7 1HN, WA7 1HQ, WA7 1HW, WA7 1JL, WA7 1JS, WA7 1JU, WA7 1JZ, WA7 1LA, WA7 1LB"
INCD-1154455-s,09/04/2025 11:55,Restored,,Scottish Power,"PA3 4NA, PA3 4NB, PA3 4ND, PA3 4NR, PA3 4NS, PA3 4PN, PA3 4SB, PA3 4SD, PA3 4SE, PA3 4SF, PA3 4SG, PA3 4SL, PA3 4SQ, PA3 4SS, PA3 4SX, PA3 4TA"
INCD-866115-f,09/04/2025 11:39,Live,09/04/2025 16:00,Scottish Power,"ML1 1DH, ML1 1DX, ML1 1DZ, ML1 1EA"
